user_id,sku_id
202828,86604
152827,168043
9058,127931
31835,112550
215591,3776
221919,51916
165798,42988
213699,11257
152539,83347
137017,82481
175468,77745
53205,27537
185913,115836
86542,115836
81411,16740
202152,70593
196662,22140
62756,54209
134133,90902
215876,54209
82657,54209
225619,41009
108773,167298
117183,102226
214385,112550
34714,45980
15299,170626
25690,170626
125721,170626
69224,42988
73605,145460
132698,65823
177823,145460
208461,170626
91815,77745
111512,170626
108698,170626
220702,170626
99087,143527
63430,54357
49271,65823
185577,168043
135007,170626
134168,20440
29284,16760
189926,103114
122955,103114
124951,103114
214103,41009
195363,54357
92131,90646
180139,83347
230189,83347
208551,80497
190997,43405
83253,54357
173090,81515
30353,24688
92145,143527
28470,24688
118733,24688
108309,143527
95097,122369
123087,27537
208346,27537
26738,80497
93054,77745
211673,42988
191166,71184
162777,71940
133063,71940
4909,80497
227192,71940
225775,82481
223789,117739
207333,2148
16973,162344
215945,112550
190249,96941
185905,112550
131821,100251
39049,63585
186300,162344
114481,160362
133924,4732
166965,9069
204755,51009
189726,71184
39988,156861
133497,64160
64030,33726
55210,71940
4607,2148
75798,82481
128017,14359
100398,2148
211756,2148
166161,2148
201016,8585
74855,2148
189682,170864
140501,2148
104014,56608
30358,154495
148520,2148
9359,146353
48420,79080
60843,37427
182343,99320
53620,37427
164782,79080
69330,170864
77402,80497
120544,80497
97312,60755
79899,88798
200404,45980
87173,60755
163882,60755
24374,60755
118461,37546
161177,107700
225982,8585
86772,28443
102175,80497
221122,71940
164173,4732
116453,71940
120876,71940
177459,71940
205986,71940
160778,111017
134504,33726
118621,111017
204690,111017
55837,143527
43952,28443
198766,28443
96598,28443
94211,45980
153934,85650
176258,160485
186798,156650
124948,7196
126824,54357
65194,79080
111819,79080
225893,79080
52953,79080
75023,79080
49601,79080
207634,124926
144775,79080
194778,105395
207320,79080
173184,128286
68589,171183
212820,138136
188682,64160
41092,70627
47395,7975
70468,143527
55679,143527
225843,143527
166778,143527
77033,143527
196207,82481
193330,82481
120612,82481
8983,82481
43949,82481
27017,82481
215136,82481
25479,82481
32949,48000
67682,82481
112139,82481
113961,41009
42893,41009
59787,41009
25958,45980
207224,41009
217434,41009
199994,41009
154633,41009
65285,45980
121831,45980
175362,41009
134428,41009
154870,41009
226418,45980
81399,45980
33469,41009
61045,41009
122745,41009
31013,41009
6762,45980
97348,41009
98906,41009
188911,41009
82233,41009
145306,8585
132757,79122
141202,56055
100842,70627
30472,153817
90207,45980
207698,80497
171155,80497
218270,160362
88346,80497
216728,101173
112745,22140
213338,112550
66358,112550
226106,54357
179528,112550
227619,127931
100896,22140
6348,90646
113478,7196
188779,22140
9002,33726
71784,70627
62770,131210
229297,54357
176302,28870
88764,70491
130826,64160
82587,7196
128179,82259
65233,82259
149190,146926
121367,109954
159081,85272
2766,136632
137112,168043
137403,55792
109863,97007
110825,169620
102496,5916
32638,69357
56856,54357
189190,77745
114496,54357
227394,80497
89208,80497
229268,156650
220197,54357
40461,54357
176724,54357
101530,77745
9427,155714
219825,66231
74657,132457
38701,155513
100308,56055
108820,64160
91532,5916
125912,80497
41551,117692
133643,97007
24390,117692
68914,160362
108351,160362
185753,50142
124388,100684
192255,45980
93026,45980
79468,45980
140340,70627
216190,45980
107957,68335
195487,84544
115313,84544
111789,84544
138270,41547
211866,158230
94315,136218
203526,90902
122192,79122
9323,79122
109243,79122
103245,5916
103525,97007
128816,5916
99920,3776
9468,5916
128294,65823
228274,65823
143956,4732
197446,80497
176047,80497
167880,80497
175446,80497
202552,80497
193649,80497
209301,80497
9290,80497
195055,80497
116724,80497
142129,80497
210822,80497
135005,80497
91319,80497
231376,80497
202763,80497
225833,80497
123415,80497
109365,80497
168446,80497
191478,80497
60312,80497
118451,146926
131471,1286
168183,65537
153818,149462
83406,77745
203432,77745
149803,77745
129395,77745
205693,77745
184558,77745
177092,156650
83475,77745
82986,97007
11311,97007
58862,97007
143976,97007
8541,97007
178291,97007
132894,97007
212374,97007
84777,97007
117365,97007
92291,97007
138882,20077
165605,97007
26861,97007
8243,56055
190871,65174
39739,65174
2375,65174
115791,155714
91866,117692
8358,122369
219841,165997
24574,105395
221094,88798
156157,20248
99736,104937
165858,168043
25175,78285
109539,45797
102123,112550
57132,112550
139241,112550
84601,112550
193696,163969
151147,131991
57204,14739
126695,42440
7735,42440
173765,3752
192248,131478
9102,156650
7539,156650
211748,156650
157977,7196
121805,7196
82983,44605
7759,51558
201606,120498
196429,102166
112591,112373
84307,131278
91978,136103
207282,100251
140196,146353
34386,70627
160004,70627
151437,70627
136746,70627
109788,61818
231565,75092
57801,120498
175073,64160
104641,70593
177178,170497
126538,64160
42450,64160
66685,145460
184504,127931
6909,148750
124274,131991
43743,61963
202217,168404
121237,20077
67213,48000
40510,160485
157202,15821
105481,21136
124954,117226
72776,157031
212444,45311
115305,92327
